major,year,n_majors,n_graduates
Economics/Math (BS),2003,7,452
Economics/Math (BS),2004,9,510
Economics/Math (BS),2005,9,434
Economics/Math (BS),2006,4,510
Economics/Math (BS),2007,7,500
Economics/Math (BS),2008,12,500
Economics/Math (BS),2009,7,444
Economics/Math (BS),2010,9,521
Economics/Math (BS),2011,10,541
Economics/Math (BS),2012,1,562
Economics/Math (BS),2013,14,534
Economics/Math (BS),2014,6,543
Economics/Math (BS),2015,7,585
Economics/Math (BS),2016,16,559
Economics/Math (BS),2017,8,574
Economics/Math (BS),2018,9,512
Economics/Math (BS),2019,8,573
Economics/Math (BS),2020,3,514
Economics/Math (BS),2021,5,532
Economics/Math (BS),2022,7,517
English-Spanish,2000,NA,425
English-Spanish,2001,NA,400
English-Spanish,2002,NA,408
English-Spanish,2003,NA,452
English-Spanish,2004,NA,510
English-Spanish,2005,NA,434
English-Spanish,2006,NA,510
English-Spanish,2007,NA,500
English-Spanish,2008,0,500
English-Spanish,2009,0,444
English-Spanish,2010,0,521
English-Spanish,2011,0,541
English-Spanish,2012,0,562
English-Spanish,2013,0,534
English-Spanish,2014,0,543
English-Spanish,2015,0,585
English-Spanish,2016,0,559
English-Spanish,2017,0,574
English-Spanish,2018,0,512
English-Spanish,2019,0,573
English-Spanish,2020,0,514
English-Spanish,2021,0,532
English-Spanish,2022,2,517
Environmental Studies,2000,0,425
Environmental Studies,2001,5,400
Environmental Studies,2002,3,408
Environmental Studies,2003,8,452
Environmental Studies,2004,9,510
Environmental Studies,2005,9,434
Environmental Studies,2006,20,510
Environmental Studies,2007,10,500
Environmental Studies,2008,18,500
Environmental Studies,2009,20,444
Environmental Studies,2010,14,521
Environmental Studies,2011,20,541
Environmental Studies,2012,22,562
Environmental Studies,2013,18,534
Environmental Studies,2014,13,543
Environmental Studies,2015,10,585
Environmental Studies,2016,15,559
Environmental Studies,2017,14,574
Environmental Studies,2018,11,512
Environmental Studies,2019,15,573
Environmental Studies,2020,19,514
Environmental Studies,2021,25,532
Environmental Studies,2022,17,517
Env. Studies (BA) (Combined),2000,26,425
Env. Studies (BA) (Combined),2001,10,400
Env. Studies (BA) (Combined),2002,18,408
Env. Studies (BA) (Combined),2003,12,452
Env. Studies (BA) (Combined),2004,14,510
Env. Studies (BA) (Combined),2005,10,434
Env. Studies (BA) (Combined),2006,6,510
Env. Studies (BA) (Combined),2007,12,500
Env. Studies (BA) (Combined),2008,13,500
Env. Studies (BA) (Combined),2009,15,444
Env. Studies (BA) (Combined),2010,14,521
Env. Studies (BA) (Combined),2011,20,541
Env. Studies (BA) (Combined),2012,21,562
Env. Studies (BA) (Combined),2013,17,534
Env. Studies (BA) (Combined),2014,19,543
Env. Studies (BA) (Combined),2015,22,585
Env. Studies (BA) (Combined),2016,22,559
Env. Studies (BA) (Combined),2017,22,574
Env. Studies (BA) (Combined),2018,22,512
Env. Studies (BA) (Combined),2019,20,573
Env. Studies (BA) (Combined),2020,16,514
Env. Studies (BA) (Combined),2021,19,532
Env. Studies (BA) (Combined),2022,17,517
Env. Studies (BS) (Combined),2000,14,425
Env. Studies (BS) (Combined),2001,9,400
Env. Studies (BS) (Combined),2002,8,408
Env. Studies (BS) (Combined),2003,10,452
Env. Studies (BS) (Combined),2004,8,510
Env. Studies (BS) (Combined),2005,9,434
Env. Studies (BS) (Combined),2006,5,510
Env. Studies (BS) (Combined),2007,6,500
Env. Studies (BS) (Combined),2008,4,500
Env. Studies (BS) (Combined),2009,12,444
Env. Studies (BS) (Combined),2010,9,521
Env. Studies (BS) (Combined),2011,7,541
Env. Studies (BS) (Combined),2012,7,562
Env. Studies (BS) (Combined),2013,12,534
Env. Studies (BS) (Combined),2014,11,543
Env. Studies (BS) (Combined),2015,6,585
Env. Studies (BS) (Combined),2016,5,559
Env. Studies (BS) (Combined),2017,7,574
Env. Studies (BS) (Combined),2018,10,512
Env. Studies (BS) (Combined),2019,7,573
Env. Studies (BS) (Combined),2020,8,514
Env. Studies (BS) (Combined),2021,9,532
Env. Studies (BS) (Combined),2022,12,517
Global Studies,2000,0,425
Global Studies,2001,0,400
Global Studies,2002,0,408
Global Studies,2003,5,452
Global Studies,2004,5,510
Global Studies,2005,14,434
Global Studies,2006,9,510
Global Studies,2007,9,500
Global Studies,2008,13,500
Global Studies,2009,11,444
Global Studies,2010,9,521
Global Studies,2011,25,541
Global Studies,2012,21,562
Global Studies,2013,18,534
Global Studies,2014,22,543
Global Studies,2015,20,585
Global Studies,2016,19,559
Global Studies,2017,19,574
Global Studies,2018,26,512
Global Studies,2019,13,573
Global Studies,2020,24,514
Global Studies,2021,22,532
Global Studies,2022,21,517
History-Lang (Combined),2000,NA,425
History-Lang (Combined),2001,NA,400
History-Lang (Combined),2002,NA,408
History-Lang (Combined),2003,NA,452
History-Lang (Combined),2004,NA,510
History-Lang (Combined),2005,0,434
History-Lang (Combined),2006,0,510
History-Lang (Combined),2007,0,500
History-Lang (Combined),2008,0,500
History-Lang (Combined),2009,0,444
History-Lang (Combined),2010,0,521
History-Lang (Combined),2011,0,541
History-Lang (Combined),2012,0,562
History-Lang (Combined),2013,0,534
History-Lang (Combined),2014,0,543
History-Lang (Combined),2015,0,585
History-Lang (Combined),2016,0,559
History-Lang (Combined),2017,0,574
History-Lang (Combined),2018,0,512
History-Lang (Combined),2019,0,573
History-Lang (Combined),2020,0,514
History-Lang (Combined),2021,2,532
History-Lang (Combined),2022,2,517
Int'l Economics (Combined),2000,0,425
Int'l Economics (Combined),2001,0,400
Int'l Economics (Combined),2002,0,408
Int'l Economics (Combined),2003,0,452
Int'l Economics (Combined),2004,0,510
Int'l Economics (Combined),2005,0,434
Int'l Economics (Combined),2006,0,510
Int'l Economics (Combined),2007,0,500
Int'l Economics (Combined),2008,0,500
Int'l Economics (Combined),2009,0,444
Int'l Economics (Combined),2010,0,521
Int'l Economics (Combined),2011,2,541
Int'l Economics (Combined),2012,3,562
Int'l Economics (Combined),2013,3,534
Int'l Economics (Combined),2014,10,543
Int'l Economics (Combined),2015,9,585
Int'l Economics (Combined),2016,4,559
Int'l Economics (Combined),2017,6,574
Int'l Economics (Combined),2018,7,512
Int'l Economics (Combined),2019,9,573
Int'l Economics (Combined),2020,11,514
Int'l Economics (Combined),2021,8,532
Int'l Economics (Combined),2022,7,517
Multi-field (BA),2000,6,425
Multi-field (BA),2001,3,400
Multi-field (BA),2002,2,408
Multi-field (BA),2003,2,452
Multi-field (BA),2004,3,510
Multi-field (BA),2005,1,434
Multi-field (BA),2006,1,510
Multi-field (BA),2007,1,500
Multi-field (BA),2008,2,500
Multi-field (BA),2009,1,444
Multi-field (BA),2010,1,521
Multi-field (BA),2011,3,541
Multi-field (BA),2012,2,562
Multi-field (BA),2013,1,534
Multi-field (BA),2014,4,543
Multi-field (BA),2015,1,585
Multi-field (BA),2016,4,559
Multi-field (BA),2017,2,574
Multi-field (BA),2018,2,512
Multi-field (BA),2019,1,573
Multi-field (BA),2020,3,514
Multi-field (BA),2021,1,532
Multi-field (BA),2022,1,517
Multi-field (BS),2000,0,425
Multi-field (BS),2001,0,400
Multi-field (BS),2002,1,408
Multi-field (BS),2003,0,452
Multi-field (BS),2004,1,510
Multi-field (BS),2005,1,434
Multi-field (BS),2006,0,510
Multi-field (BS),2007,0,500
Multi-field (BS),2008,0,500
Multi-field (BS),2009,0,444
Multi-field (BS),2010,0,521
Multi-field (BS),2011,2,541
Multi-field (BS),2012,1,562
Multi-field (BS),2013,1,534
Multi-field (BS),2014,0,543
Multi-field (BS),2015,1,585
Multi-field (BS),2016,0,559
Multi-field (BS),2017,1,574
Multi-field (BS),2018,1,512
Multi-field (BS),2019,1,573
Multi-field (BS),2020,0,514
Multi-field (BS),2021,0,532
Multi-field (BS),2022,0,517
Phys. Ed./SPLS*,2000,12,425
Phys. Ed./SPLS*,2001,16,400
Phys. Ed./SPLS*,2002,9,408
Phys. Ed./SPLS*,2003,0,452
Phys. Ed./SPLS*,2004,0,510
Phys. Ed./SPLS*,2005,0,434
Phys. Ed./SPLS*,2006,0,510
Phys. Ed./SPLS*,2007,0,500
Phys. Ed./SPLS*,2008,0,500
Phys. Ed./SPLS*,2009,0,444
Phys. Ed./SPLS*,2010,0,521
Phys. Ed./SPLS*,2011,0,541
Phys. Ed./SPLS*,2012,0,562
Phys. Ed./SPLS*,2013,0,534
Phys. Ed./SPLS*,2014,0,543
Phys. Ed./SPLS*,2015,0,585
Phys. Ed./SPLS*,2016,0,559
Phys. Ed./SPLS*,2017,0,574
Phys. Ed./SPLS*,2018,0,512
Phys. Ed./SPLS*,2019,0,573
Phys. Ed./SPLS*,2020,0,514
Phys. Ed./SPLS*,2021,NA,532
Phys. Ed./SPLS*,2022,NA,517
